participant_id,a_total_sec,b_total_sec,participant_total_sec,b_time_saved_sec,b_time_saved_percent
P01,26,19,45,7,26.9
P02,34,24,58,10,29.4
P03,30,22,52,8,26.7
P04,25,18,43,7,28.0
P05,29,21,50,8,27.6
P06,28,22,50,6,21.4
P07,39,27,66,12,30.8
P08,24,18,42,6,25.0
P09,32,24,56,8,25.0
P10,27,21,48,6,22.2
P11,25,19,44,6,24.0
P12,36,25,61,11,30.6
P13,30,22,52,8,26.7
P14,40,28,68,12,30.0
P15,24,18,42,6,25.0
P16,31,23,54,8,25.8
P17,33,24,57,9,27.3
P18,23,17,40,6,26.1
P19,29,21,50,8,27.6
P20,31,23,54,8,25.8
